SYMBOL,DESCRIPTION,IBKR-SYMBOL,CURRENCY,PRODUCT,REGION,EXCHANGE
"HBF.U","HARVEST BRAND LEADERS PLUS I","HBF.U","USD","ETF","CA","TSE*"
"HBFE","HARVEST BRAND LEADERS EN INC","HBFE","CAD","ETF","CA","TSE*"
"HBGD","GLB X BIG DATA &amp;HRWR IDX ETF","HBGD","CAD","ETF","CA","TSE*"
"HBGD.OLD","HORIZONS BIG DATA &amp; HARDWARE","HBGD.OLD","null","ETF","CA","TSE*"
"HBIE","BALANCED INC &amp; GRWT ENHANCED","HBIE","CAD","ETF","CA","TSE*"
"HBIG","BALANCED INCOME &amp; GROWTH ETF","HBIG","CAD","ETF","CA","TSE*"
"HBKD","B/P EQ WEIGHT CN BNK 2X BEAR","HBKD","CAD","ETF","CA","TSE*"
"HBKU","B/P EQ WEIGHT CN BNK 2X BULL","HBKU","CAD","ETF","CA","TSE*"
"HBLK","BLOCKCHAIN TECHNOLOGIES ETF","HBLK","CAD","ETF","CA","TSE*"
"HBND","HAMILTON US BOND YIELD MAXIM","HBND","CAD","ETF","CA","TSE*"
"HBNK","GLB X EQ WE CN BN ID ETF-HBC","HBNK","CAD","ETF","CA","TSE*"
"HBNK.OLD","HORIZONS EQL WEIGHT BANK ETF","HBNK.OLD","null","ETF","CA","TSE*"
"HBU","BETAPRO GOLD BULLION 2X DAIL","HBU","CAD","ETF","CA","TSE*"
"HBUG","GLOBAL X CYBERSECU INDEX ETF","HBUG","CAD","ETF","CA","TSE*"
"HBUG.OLD","HRZN GX CYBERSECURITY INDEX","HBUG.OLD","null","ETF","CA","TSE*"
"HCA","HAMILTON CANADIAN BANK MEAN","HCA","CAD","ETF","CA","TSE*"
"HCAL","HAMILTON ENHANCED CANADIAN B","HCAL","CAD","ETF","CA","TSE*"
"HCLN","HARVEST CLEAN ENERGY ETF","HCLN","CAD","ETF","CA","TSE*"
"HCON","GLOBAL X CONSER ASSET AL ETF","HCON","CAD","ETF","CA","TSE*"
"HCON.OLD","HORIZONS CONSERVATIVE ASSET","HCON.OLD","null","ETF","CA","TSE*"
"HCRE","GBL X EW CA RE IN CL ETF-CAD","HCRE","CAD","ETF","CA","TSE*"
"HCRE.OLD","HORIZONS EQ WEIGHT CANA REIT","HCRE.OLD","null","ETF","CA","TSE*"
"HDGE","ACCELERATE ABSOLUTE RET FUND","HDGE","CAD","ETF","CA","TSE*"
"HDIF","HARVEST DIV MONTHLY INCOME","HDIF","CAD","ETF","CA","TSE*"
"HDIV","HAMILTON ENHANCED MULTI-SECT","HDIV","CAD","ETF","CA","TSE*"
"HEB","HAMILTON CAN BANK EQ WGHT-E","HEB","CAD","ETF","CA","TSE*"
"HED","BETAPRO S&amp;P/TSX CAPPED ENERG","HED","CAD","ETF","CA","TSE*"
"HEQL","GLB X ENH AL EQ AST ALLO ETF","HEQL","CAD","ETF","CA","TSE*"
"HEQL.OLD","HORIZ EN ALL-EQ AS ALLOC ETF","HEQL.OLD","null","ETF","CA","TSE*"
"HEQT","GLOBAL X ALL-EQUITY ASS ALLO","HEQT","CAD","ETF","CA","TSE*"
"HEQT.OLD","HORIZONS ALL-EQUITY ASSET AL","HEQT.OLD","null","ETF","CA","TSE*"
"HERO","EVOLVE E-GAMING INDEX ETF","HERO","CAD","ETF","CA","TSE*"
"HEU","BETAPRO S&amp;P/TSX CAPPED ENERG","HEU","CAD","ETF","CA","TSE*"
"HEWB","GLB X EQ WE CN BN ID COR ETF","HEWB","CAD","ETF","CA","TSE*"
"HEWB.OLD","HORIZONS EQ WEIGHT CANA BANK","HEWB.OLD","null","ETF","CA","TSE*"
"HFD","BETAPRO S&amp;P/TSX CAPPED FINAN","HFD","CAD","ETF","CA","TSE*"
"HFG","HAMILTON GLOBAL FINANCIALS E","HFG","CAD","ETF","CA","TSE*"
"HFIN","HAMILTON ENHANCED CANADIAN F","HFIN","CAD","ETF","CA","TSE*"
"HFR","GLB X AC U/S TE IN GR BN ETF","HFR","CAD","ETF","CA","TSE*"
"HFR.OLD","HORIZONS ACTIVE ULTRA-SHORT","HFR.OLD","null","ETF","CA","TSE*"
"HFU","BETAPRO S&amp;P/TSX CAPPED FINAN","HFU","CAD","ETF","CA","TSE*"
"HGD","BETAPRO CAN GD -2X DAILY BEA","HGD","CAD","ETF","CA","TSE*"
"HGGB","GLOBAL X S&amp;P GREEN BOND INDE","HGGB","CAD","ETF","CA","TSE*"
"HGGB.OLD","HORIZONS S&amp;P GREEN BOND INDE","HGGB.OLD","null","ETF","CA","TSE*"
"HGGG","HARVEST GLOBAL GOLD GIANTS-A","HGGG","CAD","ETF","CA","TSE*"
"HGR","HARVEST GLOBAL REIT LEADERS","HGR","CAD","ETF","CA","TSE*"
"HGRW","GLOBAL X GROW ASSET ALLO ETF","HGRW","CAD","ETF","CA","TSE*"
"HGRW.OLD","HORIZONS GRWTH ASS ALLOC ETF","HGRW.OLD","null","ETF","CA","TSE*"
"HGU","BETAPRO CANADIAN GOLD MINERS","HGU","CAD","ETF","CA","TSE*"
"HGY","GLOBAL X GOLD YIELD ETF","HGY","CAD","ETF","CA","TSE*"
"HGY.OLD","HORIZONS GOLD YIELD ETF-CL E","HGY.OLD","null","ETF","CA","TSE*"
"HHL","HARVEST HEALTHCARE LEADERS I","HHL","CAD","ETF","CA","TSE*"
"HHL.B","HARVEST HEALTHCARE LEADERS I","HHL.B","CAD","ETF","CA","TSE*"
"HHL.U","HEALTHCARE LEADERS ETF-USD","HHL.U","USD","ETF","CA","TSE*"
"HHLE","HARVEST HEALTHCARE LDR EN IN","HHLE","CAD","ETF","CA","TSE*"
"HIG","BROMPTON GLOBAL HEALTHCARE H","HIG","CAD","ETF","CA","TSE*"
"HIND","INDUSTRIAL LEADERS INC. ETF","HIND","CAD","ETF","CA","TSE*"
"HISA","HIGH INTEREST SAVINGS ACCOUN","HISA","CAD","ETF","CA","AEQLIT*"
"HISU.U","US HIGH INTEREST SAVINGS ACC","HISU.U","USD","ETF","CA","TSE*"
"HIU","BETAPRO S&amp;P 500 DAILY INVERS","HIU","CAD","ETF","CA","TSE*"
"HIX","BETAPRO S&amp;P/TSX 60 DAILY INV ","HIX","CAD","ETF","CA","TSE*"
"HLFE","HARVEST CN EQY EN INC LDRS","HLFE","CAD","ETF","CA","TSE*"
"HLIF","HARVEST CANADIAN EQT INC LEA","HLIF","CAD","ETF","CA","TSE*"
"HLIT","GLOB X LITH PRO INDX ETF-CAD","HLIT","CAD","ETF","CA","TSE*"
"HLIT.OLD","HORIZONS GLOBAL LITHIUM PROD","HLIT.OLD","null","ETF","CA","TSE*"
"HLPR","GLOBAL X LAD CAN PR SH IN CO","HLPR","CAD","ETF","CA","TSE*"
"HLPR.OLD","HORIZONS LADDERED CANADIAN P","HLPR.OLD","null","ETF","CA","TSE*"
"HMAX","HAMILTON CA FINANCIAL YIELD","HMAX","CAD","ETF","CA","TSE*"
"HMMJ","GLOBAL X MARI LIFE SCI I ETF","HMMJ","CAD","ETF","CA","TSE*"
"HMMJ.OLD","HORIZONS MARIJUANA LIFE SCIE","HMMJ.OLD","null","ETF","CA","TSE*"
"HMP","GLOBAL X ACTIVE CANADIAN MUN","HMP","CAD","ETF","CA","TSE*"
"HMP.OLD","HORIZONS AT CD MUNI ETF-CL E","HMP.OLD","null","ETF","CA","TSE*"
"HND","BETAPRO NATURAL GAS INVERSE","HND","CAD","ETF","CA","TSE*"
"HNU","BETAPRO NATURAL GAS LEVERAGE","HNU","CAD","ETF","CA","TSE*"
