SYMBOL,DESCRIPTION,IBKR-SYMBOL,CURRENCY,PRODUCT,REGION,EXCHANGE
2BAE,LEVERAGE SHARES 2X ALIBABA,2BAE,EUR,ETF,IE,LSEETF
3ABE,3X ABNB,3ABE,EUR,ETF,IE,LSEETF
3DXE,3X GERMANY 40,3DXE,EUR,ETF,IE,LSEETF
3EUS,WT EURO STOXX50 3X DLY SHORT,3EUS,EUR,ETF,IE,LSEETF
3GLE,3X LONG GOLD,3GLE,EUR,ETF,IE,LSEETF
3NIE,LS 3X LONG NIO,3NIE,EUR,ETF,IE,LSEETF
3SBE,-3X ALIBABA,3SBE,EUR,ETF,IE,LSEETF
3SMT,-3X MICROSOFT,3SMT,EUR,ETF,IE,LSEETF
3SVE,GRANITESHARES 3X SHORT NVDA,3SVE,EUR,ETF,IE,LSEETF
3UBE,LS 3X UBER,3UBE,EUR,ETF,IE,LSEETF
5QQE,LS 5X LONG QQQ,5QQE,EUR,ETF,IE,LSEETF
AMZE,LEVERAGE SHARES 2X AMAZON,AMZE,EUR,ETF,IE,LSEETF
EEIA,WISDOMTREE EU EQ INC ACC,EEIA,EUR,ETF,IE,LSEETF
GOOE,LEVERAGE SHARES 2X ALPHABET,GOOE,EUR,ETF,IE,LSEETF
GS2E,LEVERAGE SHARES 2X GLDMN SCH,GS2E,EUR,ETF,IE,LSEETF
IJPE,ISHARES MSCI JPN MONTH EUR-H,IJPE,EUR,ETF,IE,LSEETF
LGEU,L&G EUROPE EX UK EQUITY,LGEU,EUR,ETF,IE,LSEETF
SGDE,LS -3X GOLD MINERS,SGDE,EUR,ETF,IE,LSEETF
SGME,GRANITESHARES 1X SHORT GAFAM,SGME,EUR,ETF,IE,LSEETF
SJAP,-3X SHORT JAPAN,SJAP,EUR,ETF,IE,LSEETF
SKWB,LS -3X CHINA TECH,SKWB,EUR,ETF,IE,LSEETF
TS3E,LS 3X LONG TSM,TS3E,EUR,ETF,IE,LSEETF
VISE,LEVERAGE SHARES 2X VISA,VISE,EUR,ETF,IE,LSEETF
2BAE,LEVERAGE SHARES 2X ALIBABA,2BAE,EUR,ETF,IE,LSEETF
2STE,LEVERAGE SHARES -2X SHORT TE,2STE,EUR,ETF,IE,LSEETF
3ABE,3X ABNB,3ABE,EUR,ETF,IE,LSEETF
3ADE,LS 3X AMD,3ADE,EUR,ETF,IE,LSEETF
3DXE,3X GERMANY 40,3DXE,EUR,ETF,IE,LSEETF
3EUS,WT EURO STOXX50 3X DLY SHORT,3EUS,EUR,ETF,IE,LSEETF
3FBE,LEVERAGE SHARES 3X FACEBOOK,3FBE,EUR,ETF,IE,LSEETF
3GLE,3X LONG GOLD,3GLE,EUR,ETF,IE,LSEETF
3LNE,GRANITESHARES 3X LONG NFLX,3LNE,EUR,ETF,IE,LSEETF
3NFE,LEVERAGE SHARES 3X NETFLIX,3NFE,EUR,ETF,IE,LSEETF
3NIE,LS 3X LONG NIO,3NIE,EUR,ETF,IE,LSEETF
3SBE,-3X ALIBABA,3SBE,EUR,ETF,IE,LSEETF
3SKE,3X SOUTH KOREA,3SKE,EUR,ETF,IE,LSEETF
3SMT,-3X MICROSOFT,3SMT,EUR,ETF,IE,LSEETF
3SVE,GRANITESHARES 3X SHORT NVDA,3SVE,EUR,ETF,IE,LSEETF
3SYE,3X LONG US 500,3SYE,EUR,ETF,IE,LSEETF
3UBE,LS 3X UBER,3UBE,EUR,ETF,IE,LSEETF
3VTE,LS 3X TOTAL WORLD,3VTE,EUR,ETF,IE,LSEETF
5QQE,LS 5X LONG QQQ,5QQE,EUR,ETF,IE,LSEETF
AMZ1,LS 1X AMZN,AMZ1,EUR,ETF,IE,LSEETF
AMZE,LEVERAGE SHARES 2X AMAZON,AMZE,EUR,ETF,IE,LSEETF
BUFE,BUFFETTIQUE GROWTH ETP,BUFE,EUR,ETF,IE,LSEETF
DEL2,L&G DAX DAILY 2X LONG,DEL2,EUR,ETF,IE,LSEETF
DTLE,ISHARES USD TRES 20+ EUR-H D,DTLE,EUR,ETF,IE,LSEETF
EEIA,WISDOMTREE EU EQ INC ACC,EEIA,EUR,ETF,IE,LSEETF
ES15,ISHARES GBP CORP BOND 0-5YR,ES15,EUR,ETF,IE,LSEETF
