SYMBOL,DESCRIPTION,IBKR SYMBOL,CURRENCY,PRODUCT,REGION,EXCHANGE
"TSGB","VANECK SUST WLD EQ WT ETF","TSGB","GBP","ETF","NL","LSE"
"TSWE","VANECK SUST WLD EQ WT ETF","TSWE","USD","ETF","NL","LSE"
"TURU","AMUNDI MSCI TURKEY-ETF A","TURU","USD","ETF","LU","LSE"
"U10C","AM US T BOND LONG D-ETF ACC","U10C","USD","ETF","LU","LSE"
"U10G","AM US T BOND LONG D-ETF DIST","U10G","GBP","ETF","LU","LSE"
"U127","AM MSCI EM MARKETS II-ETF D","U127","USD","ETF","LU","LSE"
"U13E","AMUNDI US TREASURY BOND 1-3Y","U13E","GBP","ETF","LU","LSE"
"U13G","AMUNDI US TREASURY BOND 1-3Y","U13G","GBP","ETF","LU","LSE"
"U37G","AMUNDI US TREASURY BOND 3-7Y","U37G","GBP","ETF","LU","LSE"
"U37H","AMUNDI US TREASURY BOND 3-7Y","U37H","GBP","ETF","LU","LSE"
"U71G","AMUNDI US TREASURY BOND 7-10","U71G","GBP","ETF","LU","LSE"
"U71H","AMUNDI US TREASURY BOND 7-10","U71H","GBP","ETF","LU","LSE"
"UB01","UBS ETF EURO STOXX 50","UB01","GBP","ETF","LU","LSE"
"UB02","UBS ETF MSCI JAPAN","UB02","GBP","ETF","LU","LSE"
"UB06","UBS ETF MSCI EMU UCITS ETF","UB06","GBP","ETF","LU","LSE"
"UB12","UBS ETF MSCI EUROPE","UB12","GBP","ETF","LU","LSE"
"UB17","UBS ETF MSCI EMU VALUE","UB17","GBP","ETF","LU","LSE"
"UB20","UBS ETF MSCI PACIFIC EX JPN","UB20","GBP","ETF","LU","LSE"
"UB23","UBS ETF MSCI CANADA","UB23","GBP","ETF","LU","LSE"
"UB32","UBS ETF MSCI EMERG. MARKETS","UB32","GBP","ETF","LU","LSE"
"UB39","UBS ETF MSCI EMU SRI","UB39","GBP","ETF","LU","LSE"
"UB45","UBS ETF MSCI PACIFIC SRI DIS","UB45","GBP","ETF","LU","LSE"
"UB69","UBS ETF MSCI EMU SMALL CAP U","UB69","GBP","ETF","LU","LSE"
"UB74","UBS ETF BBG. CAP. US TR. 1-3","UB74","GBP","ETF","LU","LSE"
"UB82","UBS ETF BBG. CA. US TR. 7-10","UB82","GBP","ETF","LU","LSE"
"UBIF","UBS ETF EURO INFL LINK 1-10","UBIF","GBP","ETF","LU","LSE"
"UBTL","UBS ETF BBG TIPS 10+ USD","UBTL","GBP","ETF","LU","LSE"
"UBTP","UBS ETF BBG TIPS 1-10 H.GBP","UBTP","GBP","ETF","LU","LSE"
"UBTS","UBS ETF BBG TIPS 1-10 USD","UBTS","GBP","ETF","LU","LSE"
"UC04","UBS ETF MSCI USA DIS","UC04","GBP","ETF","IE","LSE"
"UC07","UBS ETF MSCI USA VALUE","UC07","GBP","ETF","IE","LSE"
"UC13","UBS ETF S&amp;P 500","UC13","GBP","ETF","IE","LSE"
"UC15","UBS ETF CMCI COMPOS. USD","UC15","GBP","ETF","IE","LSE"
"UC44","UBS ETF MSCI WORLD SRI","UC44","GBP","ETF","LU","LSE"
"UC46","UBS ETF MSCI USA SRI UCITS","UC46","GBP","ETF","LU","LSE"
"UC48","UBS ETF MSCI AC ASIA EX JPN","UC48","GBP","ETF","IE","LSE"
"UC55","UBS ETF MSCI WORLD","UC55","GBP","ETF","LU","LSE"
"UC65","UBS ETF MSCI JAPAN","UC65","USD","ETF","LU","LSE"
"UC68","UBS ETF MSCI WORLD","UC68","USD","ETF","LU","LSE"
"UC79","UBS ETF MSCI EMERG. MAR. SRI","UC79","GBP","ETF","LU","LSE"
"UC81","UBS ETF B. US LIQ. CORP. 1-5","UC81","GBP","ETF","LU","LSE"
"UC82","UBS ETF US L. C. H. GBP 1-5","UC82","GBP","ETF","LU","LSE"
"UC84","UBS ETF BBG. US LIQ. CORP.","UC84","GBP","ETF","LU","LSE"
"UC85","UBS ETF B. US LQ. C. H. GBP","UC85","GBP","ETF","LU","LSE"
"UC86","UBS ETF B. US LIQ. CORP. 1-5","UC86","USD","ETF","LU","LSE"
"UC95","UBS ETF FACTOR LOW VOLATLY","UC95","GBP","ETF","IE","LSE"
"UC96","UBSETF FACTOR USA PV ESG","UC96","GBP","ETF","IE","LSE"
"UC97","UBS ETF BBG US LIQ. C. SUST","UC97","USD","ETF","LU","LSE"
"UC98","UBS ETF BBG US LIQ. C. SUST","UC98","GBP","ETF","LU","LSE"
"UC99","UBS ETF FACTOR USA QUALITY","UC99","GBP","ETF","IE","LSE"
"UCAP","OSSIAM SHILLER BRLY CAPE USD","UCAP","USD","ETF","LU","LSE"
"UCRP","AMUNDI US CORP SRI UCITS ETF","UCRP","GBP","ETF","LU","LSE"
"UD02","UBS ETF FACTOR EMU LOW VOLTL","UD02","GBP","ETF","LU","LSE"
"UD03","UBS ETF FACTOR EMU PR VL ESG","UD03","GBP","ETF","LU","LSE"
"UD04","UBS ETF FACTOR EMU QUAL ESG","UD04","GBP","ETF","LU","LSE"
"UD07","UBS ETF BBG COMM CMCI USD","UD07","GBP","ETF","IE","LSE"
"UEQ3","UBS ETF CMCI COMPOS. H. GBP","UC90","GBP","ETF","IE","LSE"
"UGAS","WT GASOLINE","UGAS","USD","ETF","JE","LSE"
"UH10","AM UST BD LG DT-ETF GBP HD","UH10","GBP","ETF","LU","LSE"
"UHYC","AMUNDI USD HY CBND ESG ACC","UHYC","USD","ETF","LU","LSE"
"UHYG","AMUNDI USD HI YLD CP BD ESG","UHYG","GBP","ETF","LU","LSE"
"UINU","AM US INV INFN EXP 10Y-ETF A","UINU","USD","ETF","LU","LSE"
"UKGBPA","UBS ETF MSCI UNITED KINGDOM","UC63","GBP","ETF","LU","LSE"
"UKGBPB","UBS ETF MSCI UNITED KINGDOM","UC64","GBP","ETF","LU","LSE"
"UKSR","UBS ETF MSCI UK IMI SRI","UKSR","GBP","ETF","IE","LSE"
"UNIC","LYXOR MSCI DISR TECH ESG","UNIC","USD","ETF","LU","LSE"
"UPVLH","UBSETF FACTOR USA PV H GBP D","UPVL","GBP","ETF","IE","LSE"
"UQLTH","UBSETF FACTOR USA QU H GBP D","UQLT","GBP","ETF","IE","LSE"
"URGB","WT SHORT EUR LONG GBP","URGB","GBP","ETF","JE","LSE"
"US10","AM US T BOND LONG D-ETF DIST","US10","USD","ETF","LU","LSE"
"US13","AMUNDI US TREASURY BOND 1-3Y","US13","USD","ETF","LU","LSE"
"US37","AMUNDI US TREASURY BOND 3-7Y","US37","USD","ETF","LU","LSE"
"US71","AMUNDI US TREASURY BOND 7-10","US71","USD","ETF","LU","LSE"
"USAUSAUSD","UBS ETF MSCI USA","UC67","USD","ETF","LU","LSE"
"USAUSY","UBS ETF MSCI USA DIS","UC03","USD","ETF","IE","LSE"
"USFM","UBSETF MSCI USA SEL.FACT.MIX","USFM","GBP","ETF","IE","LSE"
"USGB","WT SHORT USD LONG GBP","USGB","GBP","ETF","JE","LSE"
"USGBPA","UBS ETF MSCI USA H.GBP A ACC","UB0A","GBP","ETF","IE","LSE"
"USHY","AMUNDI USD HI YLD CP BD ESG","USHY","USD","ETF","LU","LSE"
"USIC","AMDI USD CORP PAB NZERO ACC","USIC","USD","ETF","LU","LSE"
"USIG","AMDI USD CORP PAB NZERO INC","USIG","USD","ETF","LU","LSE"
"USIX","AMDI USD CORP PAB NZERO INC","USIX","GBP","ETF","LU","LSE"
"USP3","WT LONG USD SHORT GBP 3X DLY","USP3","GBP","ETF","JE","LSE"
"UVNG","RIZE USA ENVIRONMENT ETF","UVNG","GBP","ETF","IE","LSE"
"WATC","LYXOR MSCI WATER ESG DR-ACC","WATC","USD","ETF","FR","LSE"
"WATL","AMUND MSCI WATER ESG SCREEN","WATL","GBP","ETF","FR","LSE"
"WATU","AMUND MSCI WATER ESG SCREEN","WATU","USD","ETF","FR","LSE"
"WCCA","WISDOMTREE CALIFORNIA CARBON","WCCA","USD","ETF","JE","LSE"
"WCCP","WISDOMTREE CALIFORNIA CARBON","WCCP","GBP","ETF","JE","LSE"
"WEAP","WT WHEAT","WEAP","GBP","ETF","JE","LSE"
"WEAT","WT WHEAT","WEAT","USD","ETF","JE","LSE"
"WETP","WISDOMTREE PHYSICAL ETHEREUM","WETP","GBP","ETF","JE","LSE"
"WGLD","WISDOMTREE CORE PHYSICAL GLD","WGLD","USD","ETF","JE","LSE"
"WLDD","AMUNDI MSCI WORLD","WLDD","USD","ETF","FR","LSE"
"WLDL","AMUNDI MSCI WORLD","WLDL","GBP","ETF","FR","LSE"
"WLDU","AMUNDI MSCI WORLD II","WLDU","USD","ETF","FR","LSE"
"WWTU","UBS ETC CMCI WHEAT USD","WWTU","USD","ETF","CH","LSE"
"WXBT","WISDOMTREE PHYSICAL BITCOIN","WXBT","GBP","ETF","JE","LSE"
"XAD1","XTRACKER GOLD ETC EUR HDG","OXA1","EUR","ETF","JE","LSE"
"XAD5","XTRACKER GOLD ETC EUR","OXA5","EUR","ETF","JE","LSE"
"XAD6","XTRACKER SILVER ETC EUR","OXA6","EUR","ETF","JE","LSE"
"XCO2","AM GL AGG G BD 1-10Y-ETF A","XCO2","GBP","ETF","LU","LSE"
"XCOG","AM GL AGG G BD 1-10Y-ETF GHD","XCOG","GBP","ETF","LU","LSE"
"XCOU","AM GL AG GB 1-10Y-ETF USD HA","XCOU","USD","ETF","LU","LSE"
"XFRM","WT BROAD CMMD EX-AG AND LVST","XFRM","USD","ETF","JE","LSE"
"XGDG","X IE PHYSICAL GOLD ETC GBP","XGDG","GBP","ETF","IE","LSE"
"XGDU","X IE PHYSICAL GOLD ETC","XGDU","USD","ETF","IE","LSE"
