SYMBOL,DESCRIPTION,IBKR-SYMBOL,CURRENCY,PRODUCT,REGION,EXCHANGE
"XHLF","BONDBLOXX BBG 6 MTH US TREAS","XHLF","USD","ETF","US","ARCA*"
"XHS","SPDR S&amp;P HEALTH CARE SER ETF","XHS","USD","ETF","US","ARCA*"
"XHS","SPDR S&amp;P HEALTH CARE SER ETF","XHS","MXN","ETF","US","MEXI*"
"XHYC","BONDBLOXX USD HY BOND CCS","XHYC","USD","ETF","US","ARCA*"
"XHYD","BONDBLOXX USD HY BOND CNONCS","XHYD","USD","ETF","US","ARCA*"
"XHYE","BONDBLOXX USD HY BOND ENERGY","XHYE","USD","ETF","US","ARCA*"
"XHYF","BONDBLOXX USD HY BOND F REIT","XHYF","USD","ETF","US","ARCA*"
"XHYH","BONDBLOXX USD HY BOND HEALTH","XHYH","USD","ETF","US","ARCA*"
"XHYI","BONDBLOXX USD HY BOND INDUS","XHYI","USD","ETF","US","ARCA*"
"XHYT","BONDBLOXX USD HY BOND TMT","XHYT","USD","ETF","US","ARCA*"
"XIDE","FT VEST US EQUITY BUFFER &amp; P","XIDE","USD","ETF","US","BATS*"
"XIMR","FT EQBUFF&amp;PREMINC - MARCH","XIMR","USD","ETF","US","BATS*"
"XISE","FT VEST US EQUITY BUFFER &amp; P","XISE","USD","ETF","US","BATS*"
"XITK","SPDR FACTSET INNOVATIVE TECH","XITK","USD","ETF","US","ARCA*"
"XJAN","FT VEST ENH MOD BUFF - JAN","XJAN","USD","ETF","US","BATS*"
"XJH","ISHARES ESG SCREEN S&amp;P MID","XJH","USD","ETF","US","BATS*"
"XJR","ISHARES ESG SCREEN SP SMALL","XJR","USD","ETF","US","BATS*"
"XJUL","FT VEST US EQUITY ENHANCE &amp;","XJUL","USD","ETF","US","BATS*"
"XJUN","FT VEST U.S. EQUITY ENHANCE &amp;","XJUN","USD","ETF","US","BATS*"
"XLB","MATERIALS SELECT SECTOR SPDR","XLB","USD","ETF","US","ARCA*"
"XLB","MATERIALS SELECT SECTOR SPDR","XLB","MXN","ETF","US","MEXI*"
"XLC","COMM SERV SELECT SECTOR SPDR","XLC","USD","ETF","US","ARCA*"
"XLC","COMM SERV SELECT SECTOR SPDR","XLC","MXN","ETF","US","MEXI*"
"XLE","ENERGY SELECT SECTOR SPDR","XLE","USD","ETF","US","ARCA*"
"XLE","ENERGY SELECT SECTOR SPDR","XLE","MXN","ETF","US","MEXI*"
"XLF","FINANCIAL SELECT SECTOR SPDR","XLF","MXN","ETF","US","MEXI*"
"XLF","FINANCIAL SELECT SECTOR SPDR","XLF","USD","ETF","US","ARCA*"
"XLG","INVESCO S&amp;P 500 TOP 50 ETF","XLG","USD","ETF","US","ARCA*"
"XLI","INDUSTRIAL SELECT SECT SPDR","XLI","MXN","ETF","US","MEXI*"
"XLI","INDUSTRIAL SELECT SECT SPDR","XLI","USD","ETF","US","ARCA*"
"XLK","TECHNOLOGY SELECT SECT SPDR","XLK","MXN","ETF","US","MEXI*"
"XLK","TECHNOLOGY SELECT SECT SPDR","XLK","USD","ETF","US","ARCA*"
"XLP","CONSUMER STAPLES SPDR","XLP","USD","ETF","US","ARCA*"
"XLP","CONSUMER STAPLES SPDR","XLP","MXN","ETF","US","MEXI*"
"XLRE","REAL ESTATE SELECT SECT SPDR","XLRE","MXN","ETF","US","MEXI*"
"XLRE","REAL ESTATE SELECT SECT SPDR","XLRE","USD","ETF","US","ARCA*"
"XLSR","SPDR SSGA US SECTOR ROTATE","XLSR","USD","ETF","US","ARCA*"
"XLU","UTILITIES SELECT SECTOR SPDR","XLU","USD","ETF","US","ARCA*"
"XLV","HEALTH CARE SELECT SECTOR","XLV","USD","ETF","US","ARCA*"
"XLV","HEALTH CARE SELECT SECTOR","XLV","MXN","ETF","US","MEXI*"
"XLY","CONSUMER DISCRETIONARY SELT","XLY","MXN","ETF","US","MEXI*"
"XLY","CONSUMER DISCRETIONARY SELT","XLY","USD","ETF","US","ARCA*"
"XMAR","FT VEST US EQUITY ENHANCE &amp;","XMAR","USD","ETF","US","BATS*"
"XMAY","FT US EQ ENH&amp;MOD BUFF - MAY","XMAY","USD","ETF","US","BATS*"
"XME","SPDR S&amp;P METALS &amp; MINING ETF","XME","USD","ETF","US","ARCA*"
"XMHQ","INVESCO S&amp;P MIDCAP QUAL ETF","XMHQ","USD","ETF","US","ARCA*"
"XMLV","INVESCO S&amp;P MIDCAP LOW VOLAT","XMLV","USD","ETF","US","ARCA*"
"XMMO","INVESCO S&amp;P MIDCAP MOMENTUM","XMMO","USD","ETF","US","ARCA*"
"XMPT","VANECK CEF MUNI INCOME ETF","XMPT","USD","ETF","US","BATS*"
"XMVM","INVESCO S&amp;P MIDCAP VALUE WIT","XMVM","USD","ETF","US","ARCA*"
"XNAV","FUNDX AGGRESSIVE ETF","XNAV","USD","ETF","US","ARCA*"
"XNOV","FT VEST US EQUITY ENHANCE &amp;","XNOV","USD","ETF","US","BATS*"
"XNTK","SPDR NYSE TECHNOLOGY ETF","XNTK","MXN","ETF","US","MEXI*"
"XNTK","SPDR NYSE TECHNOLOGY ETF","XNTK","USD","ETF","US","ARCA*"
"XOCT","FT VEST US EQUITY ENHANCE &amp;","XOCT","USD","ETF","US","BATS*"
"XOMO","YIELDMAX XOM OPTION INCOME","XOMO","USD","ETF","US","ARCA*"
"XONE","BONDBLOXX BBG 1 DUR US TREAS","XONE","USD","ETF","US","ARCA*"
"XOP","SPDR S&amp;P OIL &amp; GAS EXP &amp; PR","XOP","USD","ETF","US","ARCA*"
"XPH","SPDR S&amp;P PHARMACEUTICALS ETF","XPH","USD","ETF","US","ARCA*"
"XPND","FIRST TRUST EXPANDED TECH","XPND","USD","ETF","US","ARCA*"
"XPP","PROSHARES ULTRA FTSE CHINA 50","XPP","USD","ETF","US","ARCA*"
"XRLV","INVESCO S&amp;P 500 EX-RATE SENS","XRLV","USD","ETF","US","ARCA*"
"XRLX","FUNDX CONSERVATIVE ETF","XRLX","USD","ETF","US","ARCA*"
"XRMI","GLOBAL X S&amp;P 500 RISK MANAGE","XRMI","USD","ETF","US","ARCA*"
"XRMI","GLOBAL X S&amp;P 500 RISK MANAGE","XRMI","MXN","ETF","US","MEXI*"
"XRT","SPDR S&amp;P RETAIL ETF","XRT","USD","ETF","US","ARCA*"
"XSD","SPDR S&amp;P SEMICONDUCTOR ETF","XSD","USD","ETF","US","ARCA*"
"XSEP","FT VEST U.S. EQUITY ENHANCE","XSEP","USD","ETF","US","BATS*"
"XSHD","INVESCO S&amp;P SMALLCAP HIGH DI","XSHD","USD","ETF","US","BATS*"
"XSHQ","INVESCO S&amp;P SMALLCAP QUALITY","XSHQ","USD","ETF","US","BATS*"
"XSLV","INVESCO S&amp;P SMALLCAP LOW VOL","XSLV","USD","ETF","US","ARCA*"
"XSMO","INVESCO S&amp;P SMALLCAP MOMENTU","XSMO","USD","ETF","US","ARCA*"
"XSOE","WISDMTREE EMERG MKT EX-ST OW","XSOE","MXN","ETF","US","MEXI*"
"XSOE","WISDMTREE EMERG MKT EX-ST OW","XSOE","USD","ETF","US","ARCA*"
"XSVM","INVESCO S&amp;P SMALLCAP VALUE W","XSVM","USD","ETF","US","ARCA*"
"XSVN","BONDBLOXX BBG 7 YR US TREAS","XSVN","USD","ETF","US","ARCA*"
"XSW","SPDR S&amp;P SOFTWARE &amp; SER ETF","XSW","USD","ETF","US","ARCA*"
"XT","ISHARES EXPONENTIAL TECH ETF","XT","MXN","ETF","US","MEXI*"
"XT","ISHARES EXPONENTIAL TECH ETF","XT","USD","ETF","US","NASDAQ*"
"XTAP","INNOVATOR US EQTY ACCEL PL","XTAP","USD","ETF","US","BATS*"
"XTEN","BONDBLOXX BBG 10Y US TSY ETF","XTEN","USD","ETF","US","ARCA*"
"XTJA","INNOVATOR US EQ ACC PLUS - J","XTJA","USD","ETF","US","BATS*"
